"Time","Target/4","Rpm/4","Accel(rpm/s)","Power","D"
"56706","0.000000","219.980648","-625.000000","0.000000","1.434349"
"56716","0.000000","219.327301","-625.000000","0.000000","1.670157"
"56726","0.000000","218.771956","0.000000","0.000000","1.780402"
"56736","0.000000","218.768663","1250.000000","0.000000","1.426956"
"56746","0.000000","218.765863","1250.000000","0.000000","1.143804"
"56756","0.000000","218.529109","-312.500000","0.000000","1.104447"
"56766","0.000000","218.327867","-312.500000","0.000000","1.044551"
"56776","0.000000","218.625562","625.000000","0.000000","0.597485"
"56786","0.000000","218.878603","625.000000","0.000000","0.275555"
"56796","0.000000","219.093688","0.000000","0.000000","0.048376"
"56806","0.000000","218.807759","-1250.000000","0.000000","0.267444"
"56816","0.000000","218.564720","-1250.000000","0.000000","0.408386"
"56826","0.000000","218.826887","625.000000","0.000000","0.116975"
"56836","0.000000","219.049729","625.000000","0.000000","-0.084693"
"56846","0.000000","218.536020","-937.500000","0.000000","0.343213"
"56856","0.000000","218.099367","-937.500000","0.000000","0.623893"
"56866","0.000000","217.728212","0.000000","0.000000","0.796038"
"56876","0.000000","217.412730","0.000000","0.000000","0.889216"
"56886","0.000000","217.144571","0.000000","0.000000","0.925900"
"56896","0.000000","216.916635","0.000000","0.000000","0.923069"
"56906","0.000000","216.254140","-625.000000","0.000000","1.268451"
"56916","0.000000","216.628519","2500.000000","0.000000","0.715258"
"56926","0.000000","216.946741","2500.000000","0.000000","0.317628"
"56936","0.000000","217.217230","0.000000","0.000000","0.037712"
"56946","0.000000","217.447145","0.000000","0.000000","-0.153763"
"56956","0.000000","217.642574","0.000000","0.000000","-0.279353"
"56966","0.000000","217.808688","0.000000","0.000000","-0.356374"
"56976","0.000000","218.184259","312.500000","0.000000","-0.585556"
"56986","0.000000","218.034745","-1250.000000","0.000000","-0.348834"
"56996","0.000000","217.907659","-1250.000000","0.000000","-0.177398"
"57006","0.000000","218.268385","625.000000","0.000000","-0.430499"
"57016","0.000000","218.575002","625.000000","0.000000","-0.589693"
"57026","0.000000","218.366877","-625.000000","0.000000","-0.305254"
"57036","0.000000","218.189970","-625.000000","0.000000","-0.102678"
"57046","0.000000","218.039600","0.000000","0.000000","0.038154"
"57056","0.000000","217.911785","0.000000","0.000000","0.132775"
"57066","0.000000","217.803142","0.000000","0.000000","0.193134"
"57076","0.000000","217.007671","-937.500000","0.000000","0.790884"
"57086","0.000000","216.331520","-937.500000","0.000000","1.173628"
"57096","0.000000","215.991167","312.500000","0.000000","1.211185"
"57106","0.000000","215.701867","312.500000","0.000000","1.200388"
"57116","0.000000","215.221587","-312.500000","0.000000","1.344534"
"57126","0.000000","214.813349","-312.500000","0.000000","1.402218"
"57136","0.000000","214.466347","0.000000","0.000000","1.399376"
"57146","0.000000","214.171395","0.000000","0.000000","1.355463"
"57156","0.000000","213.686310","-312.500000","0.000000","1.472437"
"57166","0.000000","213.977114","1875.000000","0.000000","0.945307"
"57176","0.000000","214.224297","1875.000000","0.000000","0.558499"
"57186","0.000000","214.434402","0.000000","0.000000","0.278715"
"57196","0.000000","214.612992","0.000000","0.000000","0.080100"
"57206","0.000000","214.999168","312.500000","0.000000","-0.244861"
"57216","0.000000","215.327418","312.500000","0.000000","-0.458488"
"57226","0.000000","215.840805","312.500000","0.000000","-0.777501"
"57236","0.000000","215.808434","-1250.000000","0.000000","-0.596104"
"57246","0.000000","215.780919","-1250.000000","0.000000","-0.454871"
"57256","0.000000","215.757531","0.000000","0.000000","-0.345186"
"57266","0.000000","215.737652","0.000000","0.000000","-0.260245"
"57276","0.000000","215.720754","0.000000","0.000000","-0.194678"
"57286","0.000000","215.706391","0.000000","0.000000","-0.144252"
"57296","0.000000","215.459807","-312.500000","0.000000","0.081865"
"57306","0.000000","215.250211","0.000000","0.000000","0.233169"
"57316","0.000000","215.072054","0.000000","0.000000","0.329061"
"57326","0.000000","214.686246","-312.500000","0.000000","0.571895"
"57336","0.000000","214.358309","-312.500000","0.000000","0.719866"
"57346","0.000000","213.845188","-312.500000","0.000000","0.986390"
"57356","0.000000","213.409035","-312.500000","0.000000","1.138034"
"57366","0.000000","213.507055","625.000000","0.000000","0.832012"
"57376","0.000000","213.590371","625.000000","0.000000","0.598956"
"57386","0.000000","213.426816","-312.500000","0.000000","0.610009"
"57396","0.000000","213.287793","-312.500000","0.000000","0.599225"
"57406","0.000000","213.403999","312.500000","0.000000","0.386415"
"57416","0.000000","213.502774","-0.000000","0.000000","0.230112"
"57426","0.000000","213.586733","-0.000000","0.000000","0.116923"
"57436","0.000000","213.189348","-625.000000","0.000000","0.411446"
"57446","0.000000","212.851571","-625.000000","0.000000","0.599379"
"57456","0.000000","212.798835","312.500000","0.000000","0.521691"
"57466","0.000000","212.754010","312.500000","0.000000","0.453213"
"57476","0.000000","212.715909","0.000000","0.000000","0.393052"
"57486","0.000000","212.683522","0.000000","0.000000","0.340351"
"57496","0.000000","212.655994","0.000000","0.000000","0.294303"
"57506","0.000000","212.632595","0.000000","0.000000","0.254162"
"57516","0.000000","212.612706","0.000000","0.000000","0.219241"
"57526","0.000000","212.361425","-312.500000","0.000000","0.376417"
"57536","0.000000","212.147836","-312.500000","0.000000","0.472005"
"57546","0.000000","211.497536","-625.000000","0.000000","0.897844"
"57556","0.000000","210.944780","0.000000","0.000000","1.160480"
"57566","0.000000","210.474938","0.000000","0.000000","1.304257"
"57576","0.000000","210.075573","0.000000","0.000000","1.362898"
"57586","0.000000","209.736112","0.000000","0.000000","1.361887"
"57596","0.000000","209.916320","625.000000","0.000000","0.945343"
"57606","0.000000","210.069497","625.000000","0.000000","0.633733"
"57616","0.000000","210.434072","312.500000","0.000000","0.215326"
"57626","0.000000","210.743962","312.500000","0.000000","-0.075650"
"57636","0.000000","211.241742","312.500000","0.000000","-0.458745"
"57646","0.000000","211.664856","312.500000","0.000000","-0.705487"
"57656","0.000000","212.024503","0.000000","0.000000","-0.852107"
"57666","0.000000","211.627077","-1875.000000","0.000000","-0.363745"
"57676","0.000000","211.289266","-1875.000000","0.000000","-0.020747"
"57686","0.000000","211.236501","312.500000","0.000000","0.025614"
"57696","0.000000","211.191651","312.500000","0.000000","0.056372"
"57706","0.000000","210.919153","-312.500000","0.000000","0.263095"
"57716","0.000000","210.687530","-312.500000","0.000000","0.395775"
"57726","0.000000","210.490651","0.000000","0.000000","0.474123"
"57736","0.000000","210.323303","0.000000","0.000000","0.513177"
"57746","0.000000","210.181058","0.000000","0.000000","0.524338"
"57756","0.000000","209.591399","-625.000000","0.000000","0.891197"
"57766","0.000000","209.090189","-625.000000","0.000000","1.113926"
"57776","0.000000","208.429786","-312.500000","0.000000","1.419463"
"57786","0.000000","207.868443","-312.500000","0.000000","1.584645"
"57796","0.000000","207.156926","-312.500000","0.000000","1.836929"
"57806","0.000000","207.489637","2500.000000","0.000000","1.203374"
"57816","0.000000","207.772442","2500.000000","0.000000","0.736456"
"57826","0.000000","208.012826","0.000000","0.000000","0.396858"
"57836","0.000000","208.217152","0.000000","0.000000","0.154025"
"57846","0.000000","208.625204","312.500000","0.000000","-0.203222"
"57856","0.000000","208.972048","312.500000","0.000000","-0.440053"
"57866","0.000000","209.501241","312.500000","0.000000","-0.775396"
"57876","0.000000","209.951055","312.500000","0.000000","-0.980168"
